,Id,Name,tagline,first_brewed,description,image_url,abv,ibu,target_fg,target_og,ebc,srm,ph,attenuation_level,volume_value,volume_unit,boil_volume_value,boil_volume_unit,brewers_tips,contributed_by,method_mash_temp_0_temp_value,method_mash_temp_0_temp_unit,method_mash_temp_0_duration,method_fermentation_temp_value,method_fermentation_temp_unit,method_twist,method_mash_temp_1_temp_value,method_mash_temp_1_temp_unit,method_mash_temp_1_duration,method_mash_temp_2_temp_value,method_mash_temp_2_temp_unit,method_mash_temp_2_duration,method_mash_temp_3_temp_value,method_mash_temp_3_temp_unit,method_mash_temp_3_duration,food_pairing_0,food_pairing_1,food_pairing_2,food_pairing_3
0,1,Buzz,A Real Bitter Experience.,2007-09-01,"A light, crisp and bitter IPA brewed with English and American hops. A small batch brewed only once.",https://images.punkapi.com/v2/keg.png,4.5,60.0,1010,1044.0,20.0,10.0,4.4,75.0,20,litres,25,litres,The earthy and floral aromas from the hops can be overpowering. Drop a little Cascade in at the end of the boil to lift the profile with a bit of citrus.,Sam Mason <samjbmason>,64,celsius,75,19,celsius,0,0,0,0,0,0,0,0,0,0,Spicy chicken tikka masala,Grilled chicken quesadilla,Caramel toffee cake,0
1,10,Bramling X,Single Hop IPA Series - 2011.,2011-01-01,"Good old Bramling Cross is elegant, refined, assured, (boring) and understated. Understated that is unless you hop the living daylights out of a beer with it. This is Bramling Cross re-invented and re-imagined, and shows just what can be done with English hops if you use enough of them. Poor Bramling Cross normally gets lost in a woeful stream of conformist brown ales made by sleepy cask ale brewers. But not anymore. This beer shows that British hops do have some soul, and is a fruity riot of blackberries, pears, and plums. Reminds me of the bramble, apple and ginger jam my grandmother used to make.",https://images.punkapi.com/v2/10.png,7.5,75.0,1013,1068.0,22.0,11.0,4.4,80.9,20,litres,25,litres,"Getting good Bramling Cross is key. Most English hops are in leaf form (not pelletised), so getting fresh hops close to harvest (September) will give this beer the right amount of dark berry intensity.",Sam Mason <samjbmason>,65,celsius,75,19,celsius,0,0,0,0,0,0,0,0,0,0,Warm blackberry pie,Vinegar doused fish and chips,Aromatic korma curry with lemon and garlic naan,0
2,11,Misspent Youth,Milk & Honey Scotch Ale.,2013-04-01,"The brainchild of our small batch brewer, George Woods. A dangerously drinkable milk sugar- infused Scotch Ale.",https://images.punkapi.com/v2/keg.png,7.3,30.0,1020,1079.0,120.0,60.0,4.4,74.7,20,litres,25,litres,"Lots of malt in this one. Mash-in in stages, and spread the pale ale malt throughout the mash to provide stability. If the mash starts to sink, stop, wait a few minutes while mixing, then start again.",Sam Mason <samjbmason>,67,celsius,75,19,celsius,See honey and lactose additions,0,0,0,0,0,0,0,0,0,Roasted garlic and chilli infused camembert cheese,Korean style chicken wings,Chocolate milk shake,0
3,12,Arcade Nation,Seasonal Black IPA.,2015-12-01,"Running the knife-edge between an India Pale Ale and a Stout, this particular style is one we truly love. Black IPAs are a great showcase for the skill of our brew team, balancing so many complex and twisting flavours in the same moment. The citrus, mango and pine from the hops – three of our all-time favourites – play off against the roasty dryness from the malt bill at each and every turn.",https://images.punkapi.com/v2/12.png,5.3,60.0,1012,1052.0,200.0,100.0,4.2,77.0,20,litres,25,litres,Be as accurate as possible when weighing out your malts to ensure you strike the right balance.,Sam Mason <samjbmason>,65,celsius,0,19,celsius,0,0,0,0,0,0,0,0,0,0,King prawn kebabs,Halibut with a mango and tomato salad,Mint chocloate ice cream,0
4,13,Movember,Moustache-Worthy Beer.,2009-11-01,"A deliciously robust, black malted beer with a decadent dark, dry cocoa flavour that provides an enticing backdrop to the Cascade hops.",https://images.punkapi.com/v2/13.png,4.5,50.0,1012,1047.0,140.0,70.0,5.2,74.5,20,litres,25,litres,"If you can’t find really fresh cascade, substitute it for Amarillo or Ahtanum.",Sam Mason <samjbmason>,68,celsius,50,19,celsius,0,0,0,0,0,0,0,0,0,0,Vegetable egg scramble,Margherita pizza,Fresh berry crisp tart,0
5,14,Alpha Dog,Existential Red Ale.,2010-02-01,A fusion of caramel malt flavours and punchy New Zealand hops. A session beer you can get your teeth into.,https://images.punkapi.com/v2/14.png,4.5,42.0,1025,1046.0,62.0,31.0,4.4,72.8,20,litres,25,litres,"Crush the malt as close to brewing time as possible. The fresher the malt, the more intense caramel flavours will be released in the wort.",Sam Mason <samjbmason>,65,celsius,25,22,celsius,0,0,0,0,0,0,0,0,0,0,Pastrami,Swiss and horseradish sandwich,Sharp cheddar cheese and onion/ raisin chutney,Peanut brittle
6,15,Mixtape 8,"An Epic Fusion Of Old Belgian, American New Wave, And Scotch Whisky.",2012-01-01,"This recipe is for the Belgian Tripel base. A blend of two huge oak aged beers – half a hopped up Belgian Tripel, and half a Triple India Pale Ale. Both aged in single grain whisky barrels for two years and blended, each beer brings its own character to the mix. The Belgian Tripel comes loaded with complex spicy, fruity esters, and punchy citrus hop character.",https://images.punkapi.com/v2/15.png,14.5,50.0,1014,1093.0,40.0,20.0,4.4,85.0,20,litres,25,litres,Brew twice as much Belgian Tripel as you were planning on ageing - it's awesome on its own too!,Sam Mason <samjbmason>,65,celsius,40,21,celsius,Barrel aged and blended with Anarchist Alchemist,0,0,0,0,0,0,0,0,0,Coriander & chilli crab cakes,"Goats cheese salad with walnuts, radish and blood orange",Pistachio cake,0
7,16,Libertine Porter,Dry-Hopped Aggressive Porter.,2012-01-01,"An avalanche of cross-continental hop varieties give this porter a complex spicy, resinous and citrusy aroma, with a huge malt bill providing a complex roasty counterpoint. Digging deeper into the flavour draws out cinder toffee, bitter chocolate and hints of woodsmoke.",https://images.punkapi.com/v2/16.png,6.1,45.0,1020,1067.0,219.0,109.5,4.4,70.1,20,litres,25,litres,Mash in at a higher temperature to leave more unfermentable sugars in the wort. This gives the beer a sweeter porter profile.,Sam Mason <samjbmason>,68,celsius,35,18,celsius,0,0,0,0,0,0,0,0,0,0,Blue cheese beef burger,Glazed short ribs,Chocolate cake,0
8,17,AB:06,Imperial Black IPA.,2011-04-01,"Our sixth Abstrakt, this imperial black IPA combined dark malts with a monumental triple dry-hop, using an all-star team of some of our favourite American hops. Roasty and resinous.",https://images.punkapi.com/v2/17.png,11.2,150.0,1013,1098.0,70.0,35.0,0.0,87.0,20,litres,25,litres,Boil down to desired OG (about 17 litres).,Sam Mason <samjbmason>,65,celsius,90,17,celsius,White cane sugar: 150g at middle,0,0,0,0,0,0,0,0,0,Coffee dusted venison loin,Memphis-style beef short ribs,Chocolate orange brownies,0
9,18,Russian Doll – India Pale Ale,Nesting Hop Bomb.,2014-08-01,"The levels of hops vary throughout the range. We love hops, so all four beers are big, bitter badasses, but by tweaking the amount of each hop used later in the boil and during dry- hopping, we can balance the malty backbone with some unexpected flavours. Simcoe is used in the whirlpool for all four beers, and yet still lends different characters to each",https://images.punkapi.com/v2/18.png,6.0,70.0,1012,1058.0,25.0,12.5,5.2,79.3,20,litres,25,litres,Create balance through experimentation with the hop amounts and malt backbone.,Sam Mason <samjbmason>,65,celsius,75,19,celsius,0,0,0,0,0,0,0,0,0,0,Spicy chicken skewers,Fish tacos with hot sauce,Lemon pound cake with a ice sugar glaze,0
